epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.803,1.41456,2.00911,1.5963,0.76021,0.55827,0.672,0.28681,1.62737,2.44498,1.88276,0.00065625,0.00065625,0.00065625
2,449.724,1.45044,1.68442,1.62634,0.54525,0.42005,0.43359,0.18369,1.9601,4.01577,2.59621,0.00129672,0.00129672,0.00129672
3,1184.45,1.47639,1.58193,1.64936,0.41525,0.39024,0.32884,0.11587,2.23412,3.24582,2.92739,0.0019108,0.0019108,0.0019108
4,1685.38,1.50926,1.45486,1.64765,0.56442,0.55835,0.48183,0.22423,1.96317,1.90919,2.38948,0.0018812,0.0018812,0.0018812
5,1908.3,1.50922,1.42375,1.64594,0.57747,0.4878,0.50169,0.18768,2.11848,2.09151,2.42821,0.0018416,0.0018416,0.0018416
6,2131.81,1.44289,1.31045,1.59317,0.77704,0.62873,0.68652,0.28547,1.99534,1.80467,2.23419,0.001802,0.001802,0.001802
7,2355.65,1.4342,1.27066,1.5762,0.74185,0.67751,0.70885,0.30633,1.82293,1.38556,2.03192,0.0017624,0.0017624,0.0017624
8,2579.76,1.40731,1.1593,1.55265,0.84464,0.63354,0.70151,0.37171,1.7087,1.48895,1.95732,0.0017228,0.0017228,0.0017228
9,2803.34,1.3616,1.10455,1.51835,0.82609,0.68229,0.68082,0.38635,1.72705,1.33789,2.05709,0.0016832,0.0016832,0.0016832
10,3027.63,1.35585,1.09345,1.51593,0.66828,0.6748,0.66545,0.31751,1.71068,1.44838,1.8991,0.0016436,0.0016436,0.0016436
11,3251.26,1.32521,1.07437,1.49223,0.80691,0.73612,0.78562,0.40263,1.61433,1.32023,1.7978,0.001604,0.001604,0.001604
12,3465.11,1.30658,1.04961,1.47183,0.84626,0.75068,0.80404,0.45114,1.52877,1.12519,1.66761,0.0015644,0.0015644,0.0015644
13,3665.21,1.31709,1.02751,1.4772,0.87274,0.65051,0.74694,0.40664,1.70343,1.39386,1.94953,0.0015248,0.0015248,0.0015248
14,4411.04,1.29553,0.9911,1.45001,0.77682,0.70745,0.71912,0.37413,1.70734,1.35826,1.94464,0.0014852,0.0014852,0.0014852
15,4833.96,1.24621,0.96498,1.41901,0.84846,0.72087,0.817,0.43805,1.68167,1.12572,1.90383,0.0014456,0.0014456,0.0014456
16,5633.12,1.27516,0.97224,1.44652,0.86308,0.75162,0.82002,0.45864,1.57169,1.13499,1.72801,0.001406,0.001406,0.001406
17,5860.38,1.25865,0.94323,1.42609,0.81303,0.78591,0.83997,0.46793,1.66235,0.98644,1.80785,0.0013664,0.0013664,0.0013664
18,6094.11,1.18601,0.8787,1.37862,0.84227,0.76698,0.85572,0.45123,1.74451,0.99148,1.88622,0.0013268,0.0013268,0.0013268
19,6331.73,1.20816,0.88603,1.39468,0.82691,0.74255,0.76708,0.42951,1.77226,1.15026,1.95433,0.0012872,0.0012872,0.0012872
20,6573.92,1.21271,0.88842,1.39502,0.81027,0.8103,0.87082,0.47298,1.59996,0.91663,1.74111,0.0012476,0.0012476,0.0012476
21,6815.21,1.21727,0.88072,1.39628,0.84525,0.81416,0.86531,0.46125,1.61403,0.96279,1.7141,0.001208,0.001208,0.001208
22,7053.46,1.19481,0.8528,1.39328,0.81325,0.74349,0.79031,0.39867,1.77584,1.16214,2.03469,0.0011684,0.0011684,0.0011684
23,7291.75,1.17344,0.81474,1.37124,0.87964,0.81206,0.87874,0.51168,1.49627,0.91743,1.64212,0.0011288,0.0011288,0.0011288
24,7529.48,1.16718,0.80828,1.35721,0.84681,0.81843,0.85525,0.42968,1.62342,0.92131,1.76513,0.0010892,0.0010892,0.0010892
25,7760.44,1.15205,0.82203,1.36826,0.83152,0.82923,0.86266,0.49193,1.57456,0.9433,1.71487,0.0010496,0.0010496,0.0010496
26,7992.16,1.11686,0.77016,1.33348,0.85553,0.8374,0.8712,0.48109,1.56346,0.86509,1.72152,0.00101,0.00101,0.00101
27,8222.38,1.16585,0.80812,1.36834,0.85264,0.8103,0.84525,0.49588,1.52778,0.95991,1.72451,0.0009704,0.0009704,0.0009704
28,9350.68,1.1017,0.76184,1.32274,0.85124,0.8645,0.88764,0.51798,1.51524,0.82638,1.68903,0.0009308,0.0009308,0.0009308
29,9768.13,1.11197,0.76018,1.32869,0.85196,0.85637,0.87414,0.48587,1.5588,0.81628,1.78689,0.0008912,0.0008912,0.0008912
30,9962.32,1.09303,0.73661,1.31127,0.90434,0.84542,0.90622,0.53502,1.43971,0.75796,1.61165,0.0008516,0.0008516,0.0008516
31,10161.8,1.08494,0.70761,1.30588,0.91681,0.83624,0.89735,0.52863,1.46746,0.77954,1.66033,0.000812,0.000812,0.000812
32,10382.5,1.07199,0.71542,1.30296,0.8463,0.86545,0.88772,0.52606,1.50299,0.79403,1.7362,0.0007724,0.0007724,0.0007724
33,10604.2,1.03409,0.69315,1.26975,0.88309,0.8645,0.89932,0.53644,1.49043,0.79085,1.67208,0.0007328,0.0007328,0.0007328
34,10827,1.05148,0.69128,1.28689,0.89368,0.84282,0.88862,0.50399,1.57972,0.8025,1.73657,0.0006932,0.0006932,0.0006932
35,11049.3,1.03634,0.69042,1.27696,0.89116,0.82097,0.89366,0.52107,1.53983,0.79223,1.72191,0.0006536,0.0006536,0.0006536
36,11274.3,1.04662,0.66111,1.28712,0.86881,0.82558,0.86055,0.46666,1.69091,0.84388,1.8382,0.000614,0.000614,0.000614
37,11495.7,1.01903,0.65094,1.26582,0.91316,0.89702,0.93704,0.54752,1.45497,0.69182,1.63411,0.0005744,0.0005744,0.0005744
38,11716.8,1.01845,0.63973,1.26233,0.88955,0.84553,0.88768,0.50628,1.54895,0.77091,1.76594,0.0005348,0.0005348,0.0005348
39,11939.6,1.01995,0.63381,1.26849,0.86931,0.85095,0.89877,0.50085,1.59371,0.78928,1.77006,0.0004952,0.0004952,0.0004952
40,12163.6,0.97135,0.62598,1.24386,0.87546,0.85637,0.89381,0.52596,1.52535,0.75899,1.7,0.0004556,0.0004556,0.0004556
41,12387.9,0.902,0.52478,1.25885,0.87569,0.84553,0.89848,0.53138,1.50954,0.80127,1.70905,0.000416,0.000416,0.000416
42,12611.7,0.87665,0.48169,1.22632,0.93991,0.87263,0.92892,0.55272,1.47021,0.72622,1.69162,0.0003764,0.0003764,0.0003764
43,13675.2,0.84998,0.45764,1.22442,0.91301,0.86721,0.91323,0.54057,1.47645,0.75279,1.65279,0.0003368,0.0003368,0.0003368
44,13865.9,0.83812,0.46177,1.20829,0.9296,0.87263,0.93128,0.54493,1.43495,0.6802,1.66404,0.0002972,0.0002972,0.0002972
45,14070.9,0.79747,0.43286,1.18603,0.89609,0.88809,0.91274,0.53943,1.48174,0.69509,1.68125,0.0002576,0.0002576,0.0002576
46,14260.4,0.77257,0.4209,1.17977,0.91611,0.86179,0.91156,0.54369,1.49751,0.7332,1.70394,0.000218,0.000218,0.000218
